Ap_01   barcode01seq
Ap_02	barcode02seq
Ap_03	barcode03seq
Ap_04	barcode04seq
Ap_05	barcode05seq
Ap_06	barcode06seq
Ap_07	barcode07seq
Ap_08	barcode08seq
Ap_09	barcode09seq
Ap_10	barcode10seq
Ap_11	barcode11seq
Ap_12	barcode12seq
Ap_13	barcode13seq
Ap_14	barcode14seq
Ap_15	barcode15seq
Ap_16	barcode16seq
Ap_17	barcode17seq
Ap_18	barcode18seq
Ap_19	barcode19seq
Ap_20	barcode20seq
Ap_21	barcode21seq
Ap_22	barcode22seq
Ap_23	barcode23seq
Ap_24	barcode24seq
Ap_25	barcode25seq
Ap_26	barcode26seq
Ap_27	barcode27seq
Ap_28	barcode28seq
Ap_29	barcode29seq
Ap_30	barcode30seq
Ap_31	barcode31seq
Ap_32	barcode32seq
Ap_33	barcode33seq
Ap_34	barcode34seq
Ap_35	barcode35seq
Ap_36	barcode36seq
Ap_37	barcode37seq
Ap_38	barcode38seq
Ap_39	barcode39seq
Ap_40	barcode40seq
Ap_41	barcode41seq
Ap_42	barcode42seq
Ap_43	barcode43seq
Ap_44	barcode44seq
Ap_45	barcode45seq
Ap_46	barcode46seq
Ap_47	barcode47seq
Ap_48	barcode48seq
Ap_49	barcode49seq
Ap_50	barcode50seq
Ap_51	barcode51seq
Ap_52	barcode52seq
Ap_53	barcode53seq
Ap_54	barcode54seq
Ap_55	barcode55seq
Ap_56	barcode56seq
Ap_57	barcode57seq
Ap_58	barcode58seq
Ap_59	barcode59seq
Ap_60	barcode60seq
Ap_61	barcode61seq
Ap_62	barcode62seq
Ap_63	barcode63seq
Ap_64	barcode64seq
Ap_65	barcode65seq
Ap_66	barcode66seq
Ap_67	barcode67seq
Ap_68	barcode68seq
Ap_69	barcode69seq
Ap_70	barcode70seq
Ap_71	barcode71seq
Ap_72	barcode72seq
Ap_73	barcode73seq
Ap_74	barcode74seq
Ap_75	barcode75seq
Ap_76	barcode76seq
Ap_77	barcode77seq
Ap_78	barcode78seq
Ap_79	barcode79seq
Ap_80	barcode80seq
Ap_81	barcode81seq
Ap_82	barcode82seq
Ap_83	barcode83seq
Ap_84	barcode84seq
Ap_85	barcode85seq
Ap_86	barcode86seq
Ap_87	barcode87seq
Ap_88	barcode88seq
Ap_89	barcode89seq
Ap_90	barcode90seq
Ap_91	barcode91seq
Ap_92	barcode92seq
Ap_93	barcode93seq
Ap_94	barcode94seq
Ap_95	barcode95seq
Ap_96	barcode96seq
