Cr_01   barcode01seq
Cr_02	barcode02seq
Cr_03	barcode03seq
Cr_04	barcode04seq
Cr_05	barcode05seq
Cr_06	barcode06seq
Cr_07	barcode07seq
Cr_08	barcode08seq
Cr_09	barcode09seq
Cr_10	barcode10seq
Cr_11	barcode11seq
Cr_12	barcode12seq
Cr_13	barcode13seq
Cr_14	barcode14seq
Cr_15	barcode15seq
Cr_16	barcode16seq
Cr_17	barcode17seq
Cr_18	barcode18seq
Cr_19	barcode19seq
Cr_20	barcode20seq
Cr_21	barcode21seq
Cr_22	barcode22seq
Cr_23	barcode23seq
Cr_24	barcode24seq
Cr_25	barcode25seq
Cr_26	barcode26seq
Cr_27	barcode27seq
Cr_28	barcode28seq
Cr_29	barcode29seq
Cr_30	barcode30seq
Cr_31	barcode31seq
Cr_32	barcode32seq
Cr_33	barcode33seq
Cr_34	barcode34seq
Cr_35	barcode35seq
Cr_36	barcode36seq
Cr_37	barcode37seq
Cr_38	barcode38seq
Cr_39	barcode39seq
Cr_40	barcode40seq
Cr_41	barcode41seq
Cr_42	barcode42seq
Cr_43	barcode43seq
Cr_44	barcode44seq
Cr_45	barcode45seq
Cr_46	barcode46seq
Cr_47	barcode47seq
Cr_48	barcode48seq
Cr_49	barcode49seq
Cr_50	barcode50seq
Cr_51	barcode51seq
Cr_52	barcode52seq
Cr_53	barcode53seq
Cr_54	barcode54seq
Cr_55	barcode55seq
Cr_56	barcode56seq
Cr_57	barcode57seq
Cr_58	barcode58seq
Cr_59	barcode59seq
Cr_60	barcode60seq
Cr_61	barcode61seq
Cr_62	barcode62seq
Cr_63	barcode63seq
Cr_64	barcode64seq
Cr_65	barcode65seq
Cr_66	barcode66seq
Cr_67	barcode67seq
Cr_68	barcode68seq
Cr_69	barcode69seq
Cr_70	barcode70seq
Cr_71	barcode71seq
Cr_72	barcode72seq
Cr_73	barcode73seq
Cr_74	barcode74seq
Cr_75	barcode75seq
Cr_76	barcode76seq
Cr_77	barcode77seq
Cr_78	barcode78seq
Cr_79	barcode79seq
Cr_80	barcode80seq
Cr_81	barcode81seq
Cr_82	barcode82seq
Cr_83	barcode83seq
Cr_84	barcode84seq
Cr_85	barcode85seq
Cr_86	barcode86seq
Cr_87	barcode87seq
Cr_88	barcode88seq
Cr_89	barcode89seq
Cr_90	barcode90seq
Cr_91	barcode91seq
Cr_92	barcode92seq
Cr_93	barcode93seq
Cr_94	barcode94seq
Cr_95	barcode95seq
Cr_96	barcode96seq
