Ga_02	barcode02seq
Ga_03	barcode03seq
Ga_04	barcode04seq
Ga_05	barcode05seq
Ga_06	barcode06seq
Ga_07	barcode07seq
Ga_08	barcode08seq
Ga_09	barcode09seq
Ga_10	barcode10seq
Ga_11	barcode11seq
Ga_12	barcode12seq
Ga_13	barcode13seq
Ga_14	barcode14seq
Ga_15	barcode15seq
Ga_16	barcode16seq
Ga_17	barcode17seq
Ga_18	barcode18seq
Ga_19	barcode19seq
Ga_20	barcode20seq
Ga_21	barcode21seq
Ga_22	barcode22seq
Ga_23	barcode23seq
Ga_24	barcode24seq
Ga_25	barcode25seq
Ga_26	barcode26seq
Ga_27	barcode27seq
Ga_28	barcode28seq
Ga_29	barcode29seq
Ga_30	barcode30seq
Ga_31	barcode31seq
Ga_32	barcode32seq
Ga_33	barcode33seq
Ga_34	barcode34seq
Ga_35	barcode35seq
Ga_36	barcode36seq
Ga_37	barcode37seq
Ga_38	barcode38seq
Ga_39	barcode39seq
Ga_40	barcode40seq
Ga_41	barcode41seq
Ga_42	barcode42seq
Ga_43	barcode43seq
Ga_44	barcode44seq
Ga_45	barcode45seq
Ga_46	barcode46seq
Ga_47	barcode47seq
Ga_48	barcode48seq
Ga_49	barcode49seq
Ga_50	barcode50seq
Ga_51	barcode51seq
Ga_52	barcode52seq
Ga_53	barcode53seq
Ga_54	barcode54seq
Ga_55	barcode55seq
Ga_56	barcode56seq
Ga_57	barcode57seq
Ga_58	barcode58seq
Ga_59	barcode59seq
Ga_60	barcode60seq
Ga_61	barcode61seq
Ga_62	barcode62seq
Ga_63	barcode63seq
Ga_64	barcode64seq
Ga_65	barcode65seq
Ga_66	barcode66seq
Ga_67	barcode67seq
Ga_68	barcode68seq
Ga_69	barcode69seq
Ga_70	barcode70seq
Ga_71	barcode71seq
Ga_72	barcode72seq
Ga_73	barcode73seq
Ga_74	barcode74seq
Ga_75	barcode75seq
Ga_76	barcode76seq
Ga_77	barcode77seq
Ga_78	barcode78seq
Ga_79	barcode79seq
Ga_80	barcode80seq
Ga_81	barcode81seq
Ga_82	barcode82seq
Ga_83	barcode83seq
Ga_84	barcode84seq
Ga_85	barcode85seq
Ga_86	barcode86seq
Ga_87	barcode87seq
Ga_88	barcode88seq
Ga_89	barcode89seq
Ga_90	barcode90seq
Ga_91	barcode91seq
Ga_92	barcode92seq
Ga_93	barcode93seq
Ga_94	barcode94seq
Ga_95	barcode95seq
Ga_96	barcode96seq
