Ma_01   barcode01seq
Ma_02	barcode02seq
Ma_03	barcode03seq
Ma_04	barcode04seq
Ma_05	barcode05seq
Ma_06	barcode06seq
Ma_07	barcode07seq
Ma_08	barcode08seq
Ma_09	barcode09seq
Ma_10	barcode10seq
Ma_11	barcode11seq
Ma_12	barcode12seq
Ma_13	barcode13seq
Ma_14	barcode14seq
Ma_15	barcode15seq
Ma_16	barcode16seq
Ma_17	barcode17seq
Ma_18	barcode18seq
Ma_19	barcode19seq
Ma_20	barcode20seq
Ma_21	barcode21seq
Ma_22	barcode22seq
Ma_23	barcode23seq
Ma_24	barcode24seq
Ma_25	barcode25seq
Ma_26	barcode26seq
Ma_27	barcode27seq
Ma_28	barcode28seq
Ma_29	barcode29seq
Ma_30	barcode30seq
Ma_31	barcode31seq
Ma_32	barcode32seq
Ma_33	barcode33seq
Ma_34	barcode34seq
Ma_35	barcode35seq
Ma_36	barcode36seq
Ma_37	barcode37seq
Ma_38	barcode38seq
Ma_39	barcode39seq
Ma_40	barcode40seq
Ma_41	barcode41seq
Ma_42	barcode42seq
Ma_43	barcode43seq
Ma_44	barcode44seq
Ma_45	barcode45seq
Ma_46	barcode46seq
Ma_47	barcode47seq
Ma_48	barcode48seq
Ma_49	barcode49seq
Ma_50	barcode50seq
Ma_51	barcode51seq
Ma_52	barcode52seq
Ma_53	barcode53seq
Ma_54	barcode54seq
Ma_55	barcode55seq
Ma_56	barcode56seq
Ma_57	barcode57seq
Ma_58	barcode58seq
Ma_59	barcode59seq
Ma_60	barcode60seq
Ma_61	barcode61seq
Ma_62	barcode62seq
Ma_63	barcode63seq
Ma_64	barcode64seq
Ma_65	barcode65seq
Ma_66	barcode66seq
Ma_67	barcode67seq
Ma_68	barcode68seq
Ma_69	barcode69seq
Ma_70	barcode70seq
Ma_71	barcode71seq
Ma_72	barcode72seq
Ma_73	barcode73seq
Ma_74	barcode74seq
Ma_75	barcode75seq
Ma_76	barcode76seq
Ma_77	barcode77seq
Ma_78	barcode78seq
Ma_79	barcode79seq
Ma_80	barcode80seq
Ma_81	barcode81seq
Ma_82	barcode82seq
Ma_83	barcode83seq
Ma_84	barcode84seq
Ma_85	barcode85seq
Ma_86	barcode86seq
Ma_87	barcode87seq
Ma_88	barcode88seq
Ma_89	barcode89seq
Ma_90	barcode90seq
Ma_91	barcode91seq
Ma_92	barcode92seq
Ma_93	barcode93seq
Ma_94	barcode94seq
Ma_95	barcode95seq
Ma_96	barcode96seq
