Pg_02	barcode02seq
Pg_03	barcode03seq
Pg_04	barcode04seq
Pg_05	barcode05seq
Pg_06	barcode06seq
Pg_07	barcode07seq
Pg_08	barcode08seq
Pg_09	barcode09seq
Pg_10	barcode10seq
Pg_11	barcode11seq
Pg_12	barcode12seq
Pg_13	barcode13seq
Pg_14	barcode14seq
Pg_15	barcode15seq
Pg_16	barcode16seq
Pg_17	barcode17seq
Pg_18	barcode18seq
Pg_19	barcode19seq
Pg_20	barcode20seq
Pg_21	barcode21seq
Pg_22	barcode22seq
Pg_23	barcode23seq
Pg_24	barcode24seq
Pg_25	barcode25seq
Pg_26	barcode26seq
Pg_27	barcode27seq
Pg_28	barcode28seq
Pg_29	barcode29seq
Pg_30	barcode30seq
Pg_31	barcode31seq
Pg_32	barcode32seq
Pg_33	barcode33seq
Pg_34	barcode34seq
Pg_35	barcode35seq
Pg_36	barcode36seq
Pg_37	barcode37seq
Pg_38	barcode38seq
Pg_39	barcode39seq
Pg_40	barcode40seq
Pg_41	barcode41seq
Pg_42	barcode42seq
Pg_43	barcode43seq
Pg_44	barcode44seq
Pg_45	barcode45seq
Pg_46	barcode46seq
Pg_47	barcode47seq
Pg_48	barcode48seq
Pg_49	barcode49seq
Pg_50	barcode50seq
Pg_51	barcode51seq
Pg_52	barcode52seq
Pg_53	barcode53seq
Pg_54	barcode54seq
Pg_55	barcode55seq
Pg_56	barcode56seq
Pg_57	barcode57seq
Pg_58	barcode58seq
Pg_59	barcode59seq
Pg_60	barcode60seq
Pg_61	barcode61seq
Pg_62	barcode62seq
Pg_63	barcode63seq
Pg_64	barcode64seq
Pg_65	barcode65seq
Pg_66	barcode66seq
Pg_67	barcode67seq
Pg_68	barcode68seq
Pg_69	barcode69seq
Pg_70	barcode70seq
Pg_71	barcode71seq
Pg_72	barcode72seq
Pg_73	barcode73seq
Pg_74	barcode74seq
Pg_75	barcode75seq
Pg_76	barcode76seq
Pg_77	barcode77seq
Pg_78	barcode78seq
Pg_79	barcode79seq
Pg_80	barcode80seq
Pg_81	barcode81seq
Pg_82	barcode82seq
Pg_83	barcode83seq
Pg_84	barcode84seq
Pg_85	barcode85seq
Pg_86	barcode86seq
Pg_87	barcode87seq
Pg_88	barcode88seq
Pg_89	barcode89seq
Pg_90	barcode90seq
Pg_91	barcode91seq
Pg_92	barcode92seq
Pg_93	barcode93seq
Pg_94	barcode94seq
Pg_95	barcode95seq
Pg_96	barcode96seq
