Ps_02	barcode02seq
Ps_03	barcode03seq
Ps_04	barcode04seq
Ps_05	barcode05seq
Ps_06	barcode06seq
Ps_07	barcode07seq
Ps_08	barcode08seq
Ps_09	barcode09seq
Ps_10	barcode10seq
Ps_11	barcode11seq
Ps_12	barcode12seq
Ps_13	barcode13seq
Ps_14	barcode14seq
Ps_15	barcode15seq
Ps_16	barcode16seq
Ps_17	barcode17seq
Ps_18	barcode18seq
Ps_19	barcode19seq
Ps_20	barcode20seq
Ps_21	barcode21seq
Ps_22	barcode22seq
Ps_23	barcode23seq
Ps_24	barcode24seq
Ps_25	barcode25seq
Ps_26	barcode26seq
Ps_27	barcode27seq
Ps_28	barcode28seq
Ps_29	barcode29seq
Ps_30	barcode30seq
Ps_31	barcode31seq
Ps_32	barcode32seq
Ps_33	barcode33seq
Ps_34	barcode34seq
Ps_35	barcode35seq
Ps_36	barcode36seq
Ps_37	barcode37seq
Ps_38	barcode38seq
Ps_39	barcode39seq
Ps_40	barcode40seq
Ps_41	barcode41seq
Ps_42	barcode42seq
Ps_43	barcode43seq
Ps_44	barcode44seq
Ps_45	barcode45seq
Ps_46	barcode46seq
Ps_47	barcode47seq
Ps_48	barcode48seq
Ps_49	barcode49seq
Ps_50	barcode50seq
Ps_51	barcode51seq
Ps_52	barcode52seq
Ps_53	barcode53seq
Ps_54	barcode54seq
Ps_55	barcode55seq
Ps_56	barcode56seq
Ps_57	barcode57seq
Ps_58	barcode58seq
Ps_59	barcode59seq
Ps_60	barcode60seq
Ps_61	barcode61seq
Ps_62	barcode62seq
Ps_63	barcode63seq
Ps_64	barcode64seq
Ps_65	barcode65seq
Ps_66	barcode66seq
Ps_67	barcode67seq
Ps_68	barcode68seq
Ps_69	barcode69seq
Ps_70	barcode70seq
Ps_71	barcode71seq
Ps_72	barcode72seq
Ps_73	barcode73seq
Ps_74	barcode74seq
Ps_75	barcode75seq
Ps_76	barcode76seq
Ps_77	barcode77seq
Ps_78	barcode78seq
Ps_79	barcode79seq
Ps_80	barcode80seq
Ps_81	barcode81seq
Ps_82	barcode82seq
Ps_83	barcode83seq
Ps_84	barcode84seq
Ps_85	barcode85seq
Ps_86	barcode86seq
Ps_87	barcode87seq
Ps_88	barcode88seq
Ps_89	barcode89seq
Ps_90	barcode90seq
Ps_91	barcode91seq
Ps_92	barcode92seq
Ps_93	barcode93seq
Ps_94	barcode94seq
Ps_95	barcode95seq
Ps_96	barcode96seq
