Rp_02	barcode02seq
Rp_03	barcode03seq
Rp_04	barcode04seq
Rp_05	barcode05seq
Rp_06	barcode06seq
Rp_07	barcode07seq
Rp_08	barcode08seq
Rp_09	barcode09seq
Rp_10	barcode10seq
Rp_11	barcode11seq
Rp_12	barcode12seq
Rp_13	barcode13seq
Rp_14	barcode14seq
Rp_15	barcode15seq
Rp_16	barcode16seq
Rp_17	barcode17seq
Rp_18	barcode18seq
Rp_19	barcode19seq
Rp_20	barcode20seq
Rp_21	barcode21seq
Rp_22	barcode22seq
Rp_23	barcode23seq
Rp_24	barcode24seq
Rp_25	barcode25seq
Rp_26	barcode26seq
Rp_27	barcode27seq
Rp_28	barcode28seq
Rp_29	barcode29seq
Rp_30	barcode30seq
Rp_31	barcode31seq
Rp_32	barcode32seq
Rp_33	barcode33seq
Rp_34	barcode34seq
Rp_35	barcode35seq
Rp_36	barcode36seq
Rp_37	barcode37seq
Rp_38	barcode38seq
Rp_39	barcode39seq
Rp_40	barcode40seq
Rp_41	barcode41seq
Rp_42	barcode42seq
Rp_43	barcode43seq
Rp_44	barcode44seq
Rp_45	barcode45seq
Rp_46	barcode46seq
Rp_47	barcode47seq
Rp_48	barcode48seq
Rp_49	barcode49seq
Rp_50	barcode50seq
Rp_51	barcode51seq
Rp_52	barcode52seq
Rp_53	barcode53seq
Rp_54	barcode54seq
Rp_55	barcode55seq
Rp_56	barcode56seq
Rp_57	barcode57seq
Rp_58	barcode58seq
Rp_59	barcode59seq
Rp_60	barcode60seq
Rp_61	barcode61seq
Rp_62	barcode62seq
Rp_63	barcode63seq
Rp_64	barcode64seq
Rp_65	barcode65seq
Rp_66	barcode66seq
Rp_67	barcode67seq
Rp_68	barcode68seq
Rp_69	barcode69seq
Rp_70	barcode70seq
Rp_71	barcode71seq
Rp_72	barcode72seq
Rp_73	barcode73seq
Rp_74	barcode74seq
Rp_75	barcode75seq
Rp_76	barcode76seq
Rp_77	barcode77seq
Rp_78	barcode78seq
Rp_79	barcode79seq
Rp_80	barcode80seq
Rp_81	barcode81seq
Rp_82	barcode82seq
Rp_83	barcode83seq
Rp_84	barcode84seq
Rp_85	barcode85seq
Rp_86	barcode86seq
Rp_87	barcode87seq
Rp_88	barcode88seq
Rp_89	barcode89seq
Rp_90	barcode90seq
Rp_91	barcode91seq
Rp_92	barcode92seq
Rp_93	barcode93seq
Rp_94	barcode94seq
Rp_95	barcode95seq
Rp_96	barcode96seq
