Sq_02	barcode02seq
Sq_03	barcode03seq
Sq_04	barcode04seq
Sq_05	barcode05seq
Sq_06	barcode06seq
Sq_07	barcode07seq
Sq_08	barcode08seq
Sq_09	barcode09seq
Sq_10	barcode10seq
Sq_11	barcode11seq
Sq_12	barcode12seq
Sq_13	barcode13seq
Sq_14	barcode14seq
Sq_15	barcode15seq
Sq_16	barcode16seq
Sq_17	barcode17seq
Sq_18	barcode18seq
Sq_19	barcode19seq
Sq_20	barcode20seq
Sq_21	barcode21seq
Sq_22	barcode22seq
Sq_23	barcode23seq
Sq_24	barcode24seq
Sq_25	barcode25seq
Sq_26	barcode26seq
Sq_27	barcode27seq
Sq_28	barcode28seq
Sq_29	barcode29seq
Sq_30	barcode30seq
Sq_31	barcode31seq
Sq_32	barcode32seq
Sq_33	barcode33seq
Sq_34	barcode34seq
Sq_35	barcode35seq
Sq_36	barcode36seq
Sq_37	barcode37seq
Sq_38	barcode38seq
Sq_39	barcode39seq
Sq_40	barcode40seq
Sq_41	barcode41seq
Sq_42	barcode42seq
Sq_43	barcode43seq
Sq_44	barcode44seq
Sq_45	barcode45seq
Sq_46	barcode46seq
Sq_47	barcode47seq
Sq_48	barcode48seq
Sq_49	barcode49seq
Sq_50	barcode50seq
Sq_51	barcode51seq
Sq_52	barcode52seq
Sq_53	barcode53seq
Sq_54	barcode54seq
Sq_55	barcode55seq
Sq_56	barcode56seq
Sq_57	barcode57seq
Sq_58	barcode58seq
Sq_59	barcode59seq
Sq_60	barcode60seq
Sq_61	barcode61seq
Sq_62	barcode62seq
Sq_63	barcode63seq
Sq_64	barcode64seq
Sq_65	barcode65seq
Sq_66	barcode66seq
Sq_67	barcode67seq
Sq_68	barcode68seq
Sq_69	barcode69seq
Sq_70	barcode70seq
Sq_71	barcode71seq
Sq_72	barcode72seq
Sq_73	barcode73seq
Sq_74	barcode74seq
Sq_75	barcode75seq
Sq_76	barcode76seq
Sq_77	barcode77seq
Sq_78	barcode78seq
Sq_79	barcode79seq
Sq_80	barcode80seq
Sq_81	barcode81seq
Sq_82	barcode82seq
Sq_83	barcode83seq
Sq_84	barcode84seq
Sq_85	barcode85seq
Sq_86	barcode86seq
Sq_87	barcode87seq
Sq_88	barcode88seq
Sq_89	barcode89seq
Sq_90	barcode90seq
Sq_91	barcode91seq
Sq_92	barcode92seq
Sq_93	barcode93seq
Sq_94	barcode94seq
Sq_95	barcode95seq
Sq_96	barcode96seq
